"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"28",0.19,71.83,2450.55,1082.38,0.15,0.16,0.19,1588.71,690.48,0.14,0.12,1253.62,1464.2,490.79,922.28,2583.34,597.84,350.84,0.35,811.43,114.25,2785.03,252.1,255.01,817.67,356.53,2643.39,279.22,1757.43,463.82,0.25,0.12,0.24,0.25,0.23,0.2,217.52,8782.99,0.16,0.2,1068.19,0.2,0.14,0.15,0.18,0.41,0.13,0.11,0.75,0.17
"29",0.03,0,0.03,0.17,0,0,0,0,0,0.01,0,0,0,481.06,0,0.02,0,429.31,0.03,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0.11,0,0,0,0,0,0,0.01,0.03,0,2634.56,0.02,0,0,0.03,0,0.01,0.09,0.01
"30",0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.03,0.02,0.03,0.02,0.02,450.74,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.05,0.02
"31",3093.52,0.22,635.83,0.53,1107.4,0.43,307.15,854.92,0.87,411.58,1293.16,0.32,472.17,0.32,0.52,0.24,0.27,150.28,0.62,0.23,769.08,804.59,1030.11,545.62,138.6,496.22,734.25,0.55,1299.18,1556.74,1502.67,255.83,0.46,843.24,0.45,1242.56,0.34,0.33,817.8,956.29,0.81,0.51,408.26,643.66,4338.86,584.91,0.37,1373.79,843.45,1146.82
"32",0.18,3359.51,399.59,0.18,0.1,1979.97,1383.53,0.07,0.06,0.13,0.08,0.1,862.22,0.13,0.17,0.07,0.09,0.09,0.2,110.72,824.64,0.11,0.13,0.13,0.08,0.1,0.11,0.18,0.09,0.1,0.15,0.07,0.13,0.12,0.11,0.12,0.09,0.14,0.09,724.53,0.3,0.12,0.08,301.69,199.12,0.17,0.1,0.1,0.29,0.11
"33",1117.4,0.08,0.1,0.14,0.09,0.1,0.11,143.23,608.69,0.09,0.08,0.11,0.06,0.09,0.14,0.08,0.1,0.09,0.16,0.07,0.12,0.08,0.14,406.08,0.09,0.11,0.11,0.13,0.1,0.11,308.85,0.08,0.12,1768.16,0.12,0.11,0.1,0.1,0.1,0.11,0.19,0.11,0.09,0.09,1699.75,0.17,0.08,0.08,0.24,0.1
"34",444.59,0.05,0.05,0.12,0.06,0.04,0.05,0.03,0.29,0.04,0.03,0.08,0.02,0.05,0.08,663.64,0.04,0.04,0.1,0.03,64.33,0.03,0.08,0.06,0.04,0.05,449.18,2616.35,0.04,0.05,0.07,0.04,0.07,0.07,0.09,2270.13,1563.15,0.05,0.06,0.05,0.15,0.05,0.04,0.06,0.05,0.12,0.03,2768.45,0.22,0.04
"35",0.03,0.12,812.03,0.07,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.31,0.01,0.02,752.46,0.02,0.02,0.02,0.05,0.03,0.03,0.02,0.04,0.02,0.02,254.27,0.03,0.03,0.02,0.15,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.06,0.03,0.04,0.02,0.03,0.05,0.25,0.02,0.09,0.02
"36",420.1,1607.61,882.67,0.4,0.16,0.24,0.23,0.18,355,1512.36,467.61,0.29,0.13,955.15,0.29,394.66,0.18,146.66,0.71,0.25,479.25,0.12,233.14,0.22,402.3,717.7,582.78,0.28,0.47,0.19,351.94,366.62,1.16,0.24,447.87,0.24,336.35,0.2,851.32,46.96,0.53,0.26,0.19,0.17,1326.23,496.79,0.17,567.98,0.97,1563.37
"37",82.35,316.62,981.4,1669.95,3595.57,4294.5,0.47,0.34,2112.19,0.38,850.22,0.49,460.52,0.39,401.41,0.36,1678.08,0.41,1472.28,1149,0.54,0.34,0.6,0.43,384.49,746.53,613.81,0.56,1106.27,922.2,0.56,0.36,0.54,0.55,2306.66,389.36,183.6,0.44,1771.23,0.48,0.85,5953.34,0.4,401.64,1619.96,1836.65,2553.49,0.34,1181.04,0.44
